en,zh_CN,pos,description
dimension,维度
dimmed,变暗的
unavailable,不可用的
disabled,禁用的
dingbat,丁贝符
direct hosting,直接宿主连接
direct mail,直邮邮件
direct memory access,直接内存访问
DMA,DMA
directive,指令
directory,目录
directory replication,目录复制
directory service,目录服务
directory system agent,目录系统代理程序
directory tree,目录树
disable,禁用
disassembly,反汇编
disc,光盘
discard,放弃
disclaimer,免责
discretionary access control list,自定义访问控制列表
DACL,DACL
disk,磁盘
disk cache,高速磁盘缓存
disk controller,磁盘控制器
disk directory,磁盘目录
dismount,卸除
dispatch ID,调度 ID
dispatcher,调度程序
display,屏幕
distance vector multicast routing protocol,远程矢量多播路由协议
distinguished name,可分辨名称
distribute,分布
distributed database,分布式数据库
distributed processing,分布式处理
distributed computing,分布式计算
Distributed Relational Database Architecture,分布式关系数据库结构
DRDA,DRDA
distribution list,通讯组列表
distributor,分发服务器
dithering,抖动
divergence,扩散
DLL,DLL
dynamic-link library,动态链接库
dock,连接
docked toolbar,停靠工具栏
docking station,扩展坞
document,文档
document,文档
document type definition,文档类型定义
DTD,DTD
document window,文档窗口
domain,域
domain,域
domain,域
domain controller,域控制器
domain name,域名
Domain Name Service,域名服务
Domain Name System,域名系统
DNS,DNS
dongle,硬件保护装置
MS-DOS prompt,MS-DOS 提示符
dot-matrix printer,点阵打印机
dots per inch,每英寸点数
DPI,dpi
double word,双字
double-click,双击
double-density disk,双密度盘
double-sided disk,双面磁盘
downloadable font,可下载字体
distributed password authentication,分布式密码验证
DPA,DPA
draft,草稿
drag,拖动
dynamic random access memory,动态随机存取存储器
drawing,绘图
drill down,向下钻取
drill up,向上钻取
drive,驱动器
drive letter,驱动器号
drop-down combo box,下拉组合框
drop-down menu,下拉菜单
dump,转储
duplicate,副本
duplicate,复制
dword,DWORD/双字
dynamic,动态的
dynamic cloaking,动态掩蔽
dynamic cursor,动态游标
dynamic disk,动态磁盘
dynamic HTML,动态 HTML
early binding,早期绑定
static binding,静态绑定
eBook,电子图书
echo request,回显请求
ECMA,ECMA
Ecma International,Ecma International
EDI,EDI
electronic data interchange,电子数据交换
edit,编辑
edit,编辑
edit control,编辑控件
edit mode,编辑模式
editing keys,编辑键
editor,编辑器
EDO RAM,EDO RAM
EIA,EIA
Electronics Industries Association,美国电子工业协会
hat switch,顶帽控制器
AM,AM
amplitude modulation,调幅
API,API
application programming interface,应用程序编程接口
caret,脱字号
COM port,COM 端口
communications port,通信端口
serial port,串行端口
command line interface,命令行接口
content source,内容源
CRL issuer,CRL 颁发商
eject,弹出
element,元素
element declaration,元素声明
ellipse,椭圆形
electronic mail,电子邮件
e-mail server,电子邮件服务器
embed,嵌入
emboss,浮雕
empty,空
en dash,短破折号
enable,启用
encapsulated PostScript, 封装的 PostScript
EPS,EPS
encapsulating security payload,封装式安全措施负载
ESP,ESP
